image,area_fraction,review_flag
ISIC_0068849,0.0526275634765625,False
ISIC_0068458,0.2859039306640625,False
ISIC_0000011,0.15093994140625,False
ISIC_0010585,0.2470703125,False
ISIC_0025080,0.14375813802083334,False
ISIC_0073251,0.155792236328125,False
ISIC_0029274,0.34674072265625,False
ISIC_0033882,0.22216796875,False
ISIC_0027077,0.08848063151041667,False
ISIC_0061014,0.4843597412109375,False
ISIC_0031444,0.24090576171875,False
ISIC_0032005,0.3132731119791667,False
ISIC_0025988,0.2538045247395833,False
ISIC_0030908,0.1280517578125,False
ISIC_0027587,0.15275065104166666,False
ISIC_0033163,0.2566121419270833,False
ISIC_0006651_downsampled,0.25268841911764706,False
ISIC_0031353,0.07468668619791667,False
ISIC_0026184,0.2432861328125,False
ISIC_0028772,0.020243326822916668,False
ISIC_0034090,0.07698567708333333,False
ISIC_0054541,0.1051788330078125,False
ISIC_0068865,0.11297607421875,False
ISIC_0026640,0.0810546875,False
ISIC_0024340,0.15032958984375,False
ISIC_0032601,0.046000162760416664,False
ISIC_0056276,0.0615692138671875,False
ISIC_0028551,0.09120686848958333,False
ISIC_0014778_downsampled,0.07791697485207101,False
ISIC_0004715_downsampled,0.07387408088235294,False
ISIC_0028770,0.14414469401041666,False
ISIC_0026781,0.133056640625,False
ISIC_0027453,0.1693115234375,False
ISIC_0013561_downsampled,0.11346507352941176,False
ISIC_0056855,0.02679443359375,False
ISIC_0014174_downsampled,0.015992647058823528,False
ISIC_0029465,0.06589762369791667,False
ISIC_0026007,0.07285563151041667,False
ISIC_0056782,0.110137939453125,False
ISIC_0000471,0.1202704596412556,False
ISIC_0067790,0.371673583984375,False
ISIC_0068357,0.020050048828125,False
ISIC_0066868,0.3852081298828125,False
ISIC_0028164,0.26666259765625,False
ISIC_0025640,0.07684326171875,False
ISIC_0066405,0.3300323486328125,False
ISIC_0070577,0.0884552001953125,False
ISIC_0026461,0.13234456380208334,False
ISIC_0029759,0.0033976236979166665,True
ISIC_0025532,0.08504231770833333,False
ISIC_0027221,0.17362467447916666,False
ISIC_0065881,0.0986175537109375,False
ISIC_0064948,0.3651580810546875,False
ISIC_0033329,0.0673828125,False
ISIC_0012135_downsampled,0.02925091911764706,False
ISIC_0058110,0.2544097900390625,False
ISIC_0032054,0.1541748046875,False
ISIC_0025852,0.3121134440104167,False
ISIC_0014745_downsampled,0.21948529411764706,False
ISIC_0033327,0.2717488606770833,False
ISIC_0010261,0.09328206380208333,False
ISIC_0058124,0.0411529541015625,False
ISIC_0054525,0.10601806640625,False
ISIC_0027330,0.2154541015625,False
ISIC_0016063_downsampled,0.013189338235294118,False
ISIC_0060581,0.075531005859375,False
ISIC_0029267,0.25030517578125,False
ISIC_0026459,0.09029134114583333,False
